name,size,lat,long,color
Tijuana,134.24,32.525,-117.0333,1
Juárez,104.54,31.7386,-106.487,1
Uruapan,85.54,19.4208,-102.0628,1
Irapuato,80.74,20.6667,-101.35,1
Caracas,74.65,10.5,-66.9333,1
Cape Town,68.28,-33.925,18.425,1
St. Louis,64.54,38.6358,-90.2451,1
Vitória da Conquista,60.01,-14.8661,-40.8394,1
Baltimore,58.64,39.3051,-76.6144,1
Ciudad Guayana,57.8,8.3596,-62.6517,1
Kingston,57.59,17.9714,-76.7931,1
Feira de Santana,56.76,-12.25,-38.97,1
San Pedro Sula,55.21,15.5,-88.0333,1
San Juan,54.01,-31.5375,-68.5364,1
Ensenada,52.12,31.8578,-116.6058,1
Ciudad Bolívar,51.01,8.1167,-63.55,1
Cuernavaca,50.91,18.9186,-99.2342,1
Celaya,49.87,20.5222,-100.8122,1
Natal,48.32,-6.9838,-60.2699,1
Cancún,45.54,21.1606,-86.8475,1
Cali,45.24,3.44,-76.5197,1
Rio Branco,44.93,-9.9781,-67.8117,1
Caruaru,44.31,-8.28,-35.98,1
Guatemala City,43.48,14.6099,-90.5252,1
Zacatecas,42.95,22.7736,-102.5736,1
Barquisimeto,42.11,10.0678,-69.3467,1
Chihuahua,41.7,28.6353,-106.0889,1
Detroit,40.74,42.3834,-83.1024,1
Durban,40.54,-29.8583,31.025,1
Manaus,40.22,-3.1,-60.0167,1
Morelia,39.65,19.7683,-101.1894,1
Ciudad Victoria,38.27,23.7333,-99.1333,1
Guadalajara,38.07,20.6767,-103.3475,1
Reynosa,36.57,26.0922,-98.2778,1
Johannesburg,36.21,-26.2044,28.0416,1
Minatitlán,35.75,17.9833,-94.55,1
Cúcuta,35.56,7.9075,-72.5047,1
Recife,35.55,-8.0539,-34.8808,1
Valencia,35.41,10.1667,-68.0,1
León,35.07,12.4333,-86.8833,1
Fortaleza,34.47,-3.7275,-38.5275,1
Maceió,34.05,-9.6658,-35.735,1
